"year","total_emissions","total_emissions_tons"
1989,0,0
2000,0,0
2001,0,0
2002,0,0
2003,297,0.134718316247845
2004,326,0.147872629955548
2005,241,0.109316882881248
2006,228,0.103420121564003
2007,228,0.103420121564003
2008,213,0.0966161661979497
2009,170,0.0771114941485984
2010,233,0.10568810668602
2011,301,0.136532704345459
2012,427,0.193685929420303
2013,457,0.207293840152409
2014,443,0.200943481810759
2015,464,0.210469019323233
2016,373,0.169191690102513
2017,14,0.00635035834164928
