GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
8600000US60002,60002,ZCTA5 60002,24299
8600000US60004,60004,ZCTA5 60004,50582
8600000US60005,60005,ZCTA5 60005,29308
8600000US60007,60007,ZCTA5 60007,33820
8600000US60008,60008,ZCTA5 60008,22717
8600000US60010,60010,ZCTA5 60010,44095
8600000US60012,60012,ZCTA5 60012,11120
8600000US60013,60013,ZCTA5 60013,26872
8600000US60014,60014,ZCTA5 60014,48550
8600000US60015,60015,ZCTA5 60015,26800
8600000US60016,60016,ZCTA5 60016,59690
8600000US60018,60018,ZCTA5 60018,30099
8600000US60020,60020,ZCTA5 60020,9825
8600000US60021,60021,ZCTA5 60021,5545
8600000US60022,60022,ZCTA5 60022,8153
8600000US60025,60025,ZCTA5 60025,39105
8600000US60026,60026,ZCTA5 60026,13335
8600000US60029,60029,ZCTA5 60029,482
8600000US60030,60030,ZCTA5 60030,36056
8600000US60031,60031,ZCTA5 60031,37947
8600000US60033,60033,ZCTA5 60033,13922
8600000US60034,60034,ZCTA5 60034,2040
8600000US60035,60035,ZCTA5 60035,29763
8600000US60040,60040,ZCTA5 60040,5431
8600000US60041,60041,ZCTA5 60041,9250
8600000US60042,60042,ZCTA5 60042,8547
8600000US60043,60043,ZCTA5 60043,2513
8600000US60044,60044,ZCTA5 60044,9792
8600000US60045,60045,ZCTA5 60045,20925
8600000US60046,60046,ZCTA5 60046,35111
8600000US60047,60047,ZCTA5 60047,41669
8600000US60048,60048,ZCTA5 60048,29095
8600000US60050,60050,ZCTA5 60050,31620
8600000US60051,60051,ZCTA5 60051,25192
8600000US60053,60053,ZCTA5 60053,23260
8600000US60056,60056,ZCTA5 60056,55219
8600000US60060,60060,ZCTA5 60060,37189
8600000US60061,60061,ZCTA5 60061,25748
8600000US60062,60062,ZCTA5 60062,39936
8600000US60064,60064,ZCTA5 60064,15407
8600000US60067,60067,ZCTA5 60067,38585
8600000US60068,60068,ZCTA5 60068,37475
8600000US60069,60069,ZCTA5 60069,8384
8600000US60070,60070,ZCTA5 60070,16001
8600000US60071,60071,ZCTA5 60071,3598
8600000US60072,60072,ZCTA5 60072,928
8600000US60073,60073,ZCTA5 60073,60002
8600000US60074,60074,ZCTA5 60074,38985
8600000US60076,60076,ZCTA5 60076,33415
8600000US60077,60077,ZCTA5 60077,26825
8600000US60081,60081,ZCTA5 60081,10079
8600000US60083,60083,ZCTA5 60083,9838
8600000US60084,60084,ZCTA5 60084,16771
8600000US60085,60085,ZCTA5 60085,71714
8600000US60087,60087,ZCTA5 60087,26978
8600000US60088,60088,ZCTA5 60088,15761
8600000US60089,60089,ZCTA5 60089,41533
8600000US60090,60090,ZCTA5 60090,37633
8600000US60091,60091,ZCTA5 60091,27020
8600000US60093,60093,ZCTA5 60093,19570
8600000US60096,60096,ZCTA5 60096,6897
8600000US60097,60097,ZCTA5 60097,11250
8600000US60098,60098,ZCTA5 60098,32228
8600000US60099,60099,ZCTA5 60099,31104
8600000US60101,60101,ZCTA5 60101,39119
8600000US60102,60102,ZCTA5 60102,32193
8600000US60103,60103,ZCTA5 60103,41928
8600000US60104,60104,ZCTA5 60104,19038
8600000US60106,60106,ZCTA5 60106,20309
8600000US60107,60107,ZCTA5 60107,39927
8600000US60108,60108,ZCTA5 60108,22735
8600000US60109,60109,ZCTA5 60109,560
8600000US60110,60110,ZCTA5 60110,38557
8600000US60111,60111,ZCTA5 60111,258
8600000US60112,60112,ZCTA5 60112,4560
8600000US60113,60113,ZCTA5 60113,337
8600000US60115,60115,ZCTA5 60115,46272
8600000US60118,60118,ZCTA5 60118,15851
8600000US60119,60119,ZCTA5 60119,10371
8600000US60120,60120,ZCTA5 60120,50955
8600000US60123,60123,ZCTA5 60123,47405
8600000US60124,60124,ZCTA5 60124,18935
8600000US60126,60126,ZCTA5 60126,46371
8600000US60129,60129,ZCTA5 60129,242
8600000US60130,60130,ZCTA5 60130,14167
8600000US60131,60131,ZCTA5 60131,18097
8600000US60133,60133,ZCTA5 60133,38103
8600000US60134,60134,ZCTA5 60134,28565
8600000US60135,60135,ZCTA5 60135,7248
8600000US60136,60136,ZCTA5 60136,7013
8600000US60137,60137,ZCTA5 60137,37805
8600000US60139,60139,ZCTA5 60139,34381
8600000US60140,60140,ZCTA5 60140,14341
8600000US60141,60141,ZCTA5 60141,224
8600000US60142,60142,ZCTA5 60142,26447
8600000US60143,60143,ZCTA5 60143,10360
8600000US60144,60144,ZCTA5 60144,58
8600000US60145,60145,ZCTA5 60145,2627
8600000US60146,60146,ZCTA5 60146,2713
8600000US60148,60148,ZCTA5 60148,51468
8600000US60150,60150,ZCTA5 60150,1794
8600000US60151,60151,ZCTA5 60151,4061
8600000US60152,60152,ZCTA5 60152,12533
8600000US60153,60153,ZCTA5 60153,24106
8600000US60154,60154,ZCTA5 60154,16773
8600000US60155,60155,ZCTA5 60155,7927
8600000US60156,60156,ZCTA5 60156,28987
8600000US60157,60157,ZCTA5 60157,2380
8600000US60160,60160,ZCTA5 60160,25432
8600000US60162,60162,ZCTA5 60162,8111
8600000US60163,60163,ZCTA5 60163,5209
8600000US60164,60164,ZCTA5 60164,22048
8600000US60165,60165,ZCTA5 60165,4946
8600000US60169,60169,ZCTA5 60169,33847
8600000US60171,60171,ZCTA5 60171,10246
8600000US60172,60172,ZCTA5 60172,24537
8600000US60173,60173,ZCTA5 60173,12217
8600000US60174,60174,ZCTA5 60174,30752
8600000US60175,60175,ZCTA5 60175,25564
8600000US60176,60176,ZCTA5 60176,11795
8600000US60177,60177,ZCTA5 60177,22659
8600000US60178,60178,ZCTA5 60178,21840
