"year","total_emissions","total_emissions_tons"
1988,500,0.22679851220176
1989,500,0.22679851220176
1990,500,0.22679851220176
1991,500,0.22679851220176
1992,2550,1.15667241222898
1993,2350,1.06595300734827
1994,2100,0.952553751247392
1995,500,0.22679851220176
1996,255,0.115667241222898
1997,255,0.115667241222898
1998,255,0.115667241222898
1999,255,0.115667241222898
2000,255,0.115667241222898
2001,255,0.115667241222898
2002,255,0.115667241222898
2003,255,0.115667241222898
2004,27.9,0.0126553569808582
2005,91.9,0.0416855665426835
