"year","total_emissions","total_emissions_tons"
1988,97518,44.2338746257825
1995,18373,8.33393812936587
1996,22420,10.1696452871269
1997,27020,12.2561915993831
1998,32200,14.6058241857933
1999,2640,1.19749614442529
2000,7628,3.46003810215005
2001,8113,3.68003265898576
2002,6957,3.15567449877529
2003,6909,3.13390184160392
2004,5312,2.4095073936315
2005,2910,1.31996734101424
2006,4274,1.93867368230064
2007,3966,1.79896579878436
2008,3858,1.74997732014878
2009,3690,1.67377302004899
2010,7151,3.24367232150957
2011,7160,3.2477546947292
2012,7091,3.21645650004536
2013,6133,2.78191055066679
2014,5241,2.37730200489885
2015,4899,2.22217182255284
2016,4205,1.9073754876168
